comments,Helpful
i started useing this product three months ago a couple of hours a night on the average and am now ready for an actual class. i really love this set of cds titled instant immersion german. i have learned a lot; this is a winner in my book and i have never had a problem loading it on my pc.. this language set of cd's is good for beginers. my young children love it too; they think it's just plain fun..david g.,0
"after using the suite for a few weeks, i have to agree with one of the other members who gave it a high rating and questioned why there were so many people bashing this version. so far, i find this version to be very user-friendly and i absolutely love the new features. excel is much better and offers a wider range of functions. i was one of the people who actually got frustrated about the fact that 'conditional formatting' was so limited in earlier versions of excel. powerpoint is also drastically better in this latest version. i would definitely have purchased this item if i did not get it for free. i recommend it to anyone.as someone stated earlier, this takes getting used to like any other new product. why release a version if they were just going to make a carbon copy of ? this furthers my belief that people hate change no matter what it is. just take some time and tinker with the program and you'll eventually get used to it.",0
"amazon needs to provide a track listing for this e.p., and i, alas, am unable to do so and will thus be considered unhelpful, though that's more their fault than mine. but of the song which gives this disc its name, i can only say: ""yeah, we're wating around... uh huh.. we ain't doing anything... oh yeah, waiting on our butts... oh yeah..."" ..... nice inspiring anthem, ya fool!",0
"i have used this software now for a week and am still struggling with it. i think the product is powerful, maybe too many features for my needs, but figuring out how to use it is really tough. the users manual was clearly written by someone for whom english is a second (maybe third) language. if you are willing to make the effort to fight through this, you can do a lot. i have now used the note processor like a word processor to document music i have written and i have entered music from the virtual keyboard. it is so much nicer than my handwriting.",1
"i have downloaded it to my computer, but as yet have not figured out how to use it. i wanted it for a mailing list.",0
"to program looks interesting. i have not tried it myself, but my kids use it in school and are happy that they also have it at home.",0
"i have over the past used many studio programs and i can not lie and say studio /studio are with out a few problems(just like the operating systems they sat on ) but having used other video software found a lot faster rendering etc (quality does suffer) so what i would say i have had no problems at all producing dvds etc using studio , i have a mhz processor with of ddr ram running at m so what's the problem you guys in the us is it volts your on or what?",0
"our new pc is a hp pavilion c that came with windows xp home edition. this review will be breif, as i have only used it for a month now. my main pros are that things that pointlessly took forever can now be done really quickly. also, some features have been greatly expanded. my cons are that it is too ""automatic"". sometimes, you need to do things manually, whih often isn't in xp. also, i've already noticed some software compatibility probs. could be better, could be worse. if only i had e-mail up and running, i could give xp home edition my actual rating, which is (drumroll please!): / stars!",0
"although the age category begins at for this game, my year old (and i must confess, i too) find this game montonous and frustrating. the reason is the inability to quick save during the game...you can only save a game after you successfully complete each level.if you are in the middle or even near the end of a level, and you run the misfortune of using up your last life, you are brought back to the beginning of that level...too much jumping over water!!! my son loved the movie, but has given up on this game...disney needs to go back to the drawing board on this one...",1
this is so easy to use! i saved over . in just two projects. it paid for itself fast and now i have more time to really focus on my projects. my wife is able to do all the paperwork etc. without having to ask a million questions. no more frantic &quot; th&quot; of the month. my home buyers have a great feeling of professionalism about my work... thank you allan wolkenhauer,0
i do not like software. it always hang no matter what i did. maybe this is becasue it has not finished the index process? i had many many photos in my computer.,0
"pooh cd is really great for - year olds. it offers several - (!) various activities. all of them are interesting and useful in some way. each has different difficulty levels, so your child can grow with the program. the visual quality is extremely high and this software can work on older pc. i run it on my old piii without d card and was very happy.mickey cd has a couple of activities, but they are either not challenging enough or, when challenging, are too boring. i doubt your child will be using it much.overall, the pooh game is so good, it makes the whole package worth the money.good luck!copyrighted by me",1
"i ordered from video professor and had no problems with charges or returns. problem is most of the complaints are those that do not read the fine print. it states you must call within days or you will be charged full price for the lessons. i paid my . and that was all, i told them on the phone i did not want to be enrolled in any monthy program and i called the day the videos arrived and said i was sending one back and keeping the other , they charged what the fine print said, . , that was over years ago.",0
"this program cannot work with commercial dvds directly. that means that in order to copy them, you would have to use a second program to decrypt and copy the dvd to your hard drive, after which popcorn can deal with it. while it works, it's a little clumsy.it would have been easy for roxio to get this program to work with commercial dvds. they chose not to.sadly, there are no very good options on the mac; ""dvd backup"" does the job, but has been buggy, is shockingly overpriced, and surgically grafts itself to your computer (if you have more than one computer, you can only run it on one of them, and must go through a song and dance to switch it between machines.)",0
"i'll admit that this program is unstable, and many of the complaints listed on this site are true, when running on a win system.however, after upgrading my pc (p mhz, mb ram) to winxp pro, and a fresh install of studio (along with the recent . upgrade), many of the problems have all but disappeared.regardless of the software package, video editing puts a major task on your processor, even on a p . ghz. it is best to turn off all programs and background tasks (including anti-virus) when editing and rendering video.this is mentioned in the instruction manual, and on pinnacle's website.for those looking for x support, studio is supposed to include this feature, and i cannot wait.",0
"sorry,can't make a review on something i have not seen nor tried.right now i really do not know what to chose.norton internet security was not even giving me protection.i was totally unaware of this until something happened.really need somebody's expert advice on which way to go.",0
i got this game from this holiday my brother and i made called brother and sister day. i like it. i would say it's worth $ . dollars than . i'm own two siamese cats( hard to tell witch ones witch) and i am waiting for them to have kittens( not to mention there kittens themselfes.). also earning a happy pet certificate. the game is not that easy to me cause i can't train my kittens skipper and sophie. i don't know if there in love or not. and can't find the medicine. i reccomend this game but not highly.,0
"i'm fully on vista x now, except for quicktime and starry night. in fact since running vista as one of the beta testers, the only bsods i've ever received were from quicktime and starry night!i've used starry night on xp, where it works fine. the only problem is, i don't run xp any more. i'd give it stars (the ui is waaaay too quirky, in my opinion -- too much java under the covers), except that i can't run it at the moment.",0
"i had the first photoshop, and i have elements . this is my fifth such program (don't get microsoft) if you include thumbs plus, and it is both one of the best and one of the more difficult. you won't be able to use it right out of the box and, typical of this type of program, you might end up using % of the program. i'm really waiting for the $ version comes down to $ .anyway, i just got back from best buy and elements . was $ . sorry, amazon.",0
"i have not used it a lot yet, but hope it has lots of scripture and i will be makining cards for thanksgiving and christmas",0
"what's new? just another educator buying duplicate software for home use so materials made at home can be opened at work. really, whooptie freaking do. the best thing about buying genuine software at a competitive price is, well, the price. duh.",0
"i have a multi-monitor setup from three different manufacturers (samsung, acer, viewsonic). like many other reviewers, my first attempt resulted in a slightly pink cast on one of my monitors (samgsung syncmaster c). but, i've managed to correct the problem with a little patience and slight pressure to the tip of the device. take a few extra minutes and adjust the brightness and contrast and get it just right. then, while it processes color, lightly press on the device where it says ""huey pro"". it'll create a better seal for sensors and you'll get dramatically better results.",1
"i just buy this program,but i can't used because the code keys dosen't work i just try to contact costumer support,but they didn't help me they have a stupid sistem, when you entered the keys code became a pop up who said the key code is not acepted, i'm sick and tired about costumer support, for this reason i can't used this program,,,,it realy sucks!!!! don't buy it......",0
i had some trouble installing the software could not get shortcut to work kept wanting to reinstall. the games are not intuitively obvious so it took some time for an adult to figure out the object of the game to explain it to my year old. some i still don't get. the graphics are great beautiful colors all the characters are there so my little one loved watching the pictures. small children will need an adult to play with them.,0
"i don't know who was more excited to play this latest spy fox sequel, my eight year old, or her year old mom. clever, challenging, and amusing, spy fox is addictive. this latest version is enhanced with music-- yes, the cd can be played in the car and on the headphones. awesome fun and recommended. we are already awaiting the next release.",1
"i wrote a review for the other finding nemo game and i gave it star! i dont know what i was thinking to buy this game because the last one was boring and way too easy. this one is no diffrent. it still sucks times . but i have to say the graphics are great!a+. but the game is still bad and as always i knew my brother would like it! he didnt and his . he said ""this game is way too easy and boring. i dont want it.""then he pretented to throw up. my mom didnt like it either. my friends thought they were too old for it because were and my dad said why we bought this junk. so right now its sitting on the shelf dusty. we now have dollars down the drain. stupid nemo and this company, they cant even invent a game that us - year olds can play.",0
"very good product on how to learn sign language. very easy to install and pickup the new ways of commmunciation. the only thing i wish it had was, instead of cds, i wish it was all on - computer dvds so i would have to switch cd media every each new topic.",1
"my investments screens now have both vertical and horizontal scroll bars, where previously they had none. there is too much real estate taken up by the new look&feel;, which leaves less space for my data.also, one of the new features allows for multiple investment accounts with the same financial organization. however, this messed up both investment accounts as it put the investments into the wrong one!",1
"umax scanners don't work in . , veuscan doesn't work, some epson printers don't work well ( ), quark is still behind the times in .?, importing mail addresses is impossible unless you like to write code, help index is gone - in ten days i average - restarts per day and have had to do one clean install. the interface is cute but i haven't been interested in cute since i was . filemaker . out of the box changes data so do the upgrade before you start to work. i've used macs for years - threw out pcs where i worked but this release needs work along with the community..",0
"i use turbo tax software every yr..since and this is the first time i have had an error in the software. who do i contact about this mistake. can you give me a number to call intuit and tell them about the mistake and see if anyone else has had this problem ...it is on the dependant page, there is no back or continue button. you are just stuck when you get to this page.thank youjoyce o vespie",0
"i used to be really messy...still am, with my room that it. i am going into high school this year and i`m ready for teachers instead of because i organised my work with the student organiser. i rate this product with three stars.",0
"last year, i switched from turbotax to taxcut. the main reason being that the makers of turbotax decided to include a piece of spyware with their software which couldn't be deleted from your computer. plus, you had to jump through considerable hoops in order to even install it. no more of that nonsense for me.taxcut, to be honest, seems to be a step behind turbotax. not a huge step, but a step nonetheless. the program is intuative enough, and will get the job done for you without the hassles though. basically, it's a trade off. you get slightly less functionality with whole lot less hassle.",1
"this is an excellent product for converting vhs tapes to mpeg files for making dvds. i didn't really care about the tv feature as my main objective of buying this product is to convert vhs tapes to dvds, but the tv feature works very well also. if you read cnet or other sites you will see that this product gets bad reviews, i think it's because of the old driver, i use driver version . and it works the first time without a problem. this thing does the mpeg encoding in the hardware so it does not hog your pc like software encoding, the quality of video is excellent. as of this writting i see there are 'used' prices on here at $$$, i wish i had checked here first :) it's a bargain at $$$.",1
"when i first opened the package, i said to myself ""wait a min....is this what i paid for?"" because it was tiny~!!!! lol i was like ""you got to be kidding...~!! the smallest shredder i have ever seen in my life~!!"" i bought it for my home office use, and spent hrs researching for the best kind to buy, reading review, and etc. i finally got my ""well researched"" item in hand,....and and...~!!! well, i guess i will have to stay with this for a while. it is ugly design and color to go with it. besides its made in usa. sigh...........suck. will see how i will get used to this tiny machine sitting in my home office.....may be i will spray paint it, since its so ugly. as far as size, i can not help it.....i can not imagine anyone would make such small paper shredder~! what were they thinking?",0
"not bad piece of software ,but has problem with forest ofprograms , lack of playing dvds , monitor runs of hz instead of what is very annoying , real player needs refurbishmentand you'll need crossover definately",0
"overall, this product seems to work pretty well. i've been able to backup individual files, and restore them at will. i've made full system backups, but since i haven't had a reason to resore them yet, i'll have to reserve judgement on that portion.most of my gripes are over fairly small items. for example, you can schedule your backups to run automatically at the interval of your choosing, but after every backup the disk ejects. so you need to make a habit of reinserting the disk after every backup. why not give the user the option to eject after backup?the other buggy thing that i've found is that in their file manager, where you pick which items you want to backup, the sort by name doesn't work. you can try to use this sort option, but it's pretty random.other than that, it's a decent package.",1
there are many new and exciting things in this software. you really need a high speed connection and a mac account to enjoy the full benefits. i like the change in iphoto another improvement.the tie in to various companies makes ordering a simple manner.i have yet to use all the functions in this upgrade so i can really say no more.. good service from amazon tho...,0
i own a nuvi and bought the europe map for a trip to portugal. the map was there and complete but i could never get my nuvi to locate a satellite so i could use the maps. it was far easier for me to get a local tourist map than try and manually use my nuvi. sorry i spent the money...,0
i like the manfrotto mono pod. it os light weight. my canon - zoom has a collar and i can lossen it a bit for vertical as well as horizontal shots. the only problem is the bottom pull out could be a made sturdier.that is why i gave it stars.,0
"i got vista which was supposed to be compatible. if you are using visual studio, creating asp.net applications and connecting to oracle databases you are out-of-luck. no solutions to that one.",0
"i did not purchase quicken . i figured i would wait for , because it would surely be significantly better. but i keep hearing that it is trememdously commercial, constantly goading me to sign on to quicken products. now, i hesitate to upgrade. i love the product. wish i had bought stock in it years ago, but i don't want to be faced with a comercial bombardment. why should i pay them to hit me with commercials all the time??? what should i do ?",0
"hi , i recently used this sofware and found it to be very good.yes it does crash but i have never lost my work as it is all there when you start it up again, this is by far the most powerful software i have seen, but you dnt have to be a professional to use it. i reccomend it highly",0
"first micro soft office profrofessional is a star. it's to bad that windows vista isn't. anyone developeing software especially a new operating system, should have taken the time to include drivers for all audio and printers etc.it is faster on my machine but i only see some bells and whistles that have been used from other sources added into windows. security is good but very anoying with those popup windows. i uninstalled it and went back to windows xp pro...................:(",0
"works well overall, but still pretty slow and i'm using it with a g where it's supposed to be speed optimized.",0
"although the gps function is i guess useful if you like driving your car with a laptop on the seat next to you, microsoft has updated some of the city streets but removed most of the previously mapped dirt roads and other features that made the version useful. if you used to find roads that may have been not paved surfaces don't get this program. i ended up installing it but keeping the version installed as well. very disapointing move by microsoft to take out much of the detail that made the program good.",1
"i have used mappoint for about three years now and i just upgraded. overall, it is an excellent, full-featured product that is very intuitive and easy to use.i use mappoint along with a full-blown professional arcview-based gis system. i find that mappoint allows me to perform &quot;quick and dirty&quot; and relatively simple gis tasks without having to get into the more complicated and time consuming - albeit more capable - arcview gis system.truth is, i could probably rely completely on mappoint except for one shortfall in the program. you can only create customized boundaries based on the pre-existing included boundaries (census tracts, zip code areas, etc.).for example, rather than being able to go in and create a boundary around a neighborhood, i have to conform this &quot;custom&quot; boundary to something like zip code boundaries or census tracts, etc. that are inluded in mappoint.microsoft, include this feature in mappoint and you will get -stars!",1
"i love mac & cheese. used to be able to eat this all the time, but not anymore. it has good flavor & is easy to make. but every time i eat it i get nasty diarrhea (happens with anything that has powdered cheese), so i'm not able to eat this form of mac & cheese anymore. fortunately, kraft has come up with mac & cheese with liquid cheese sauce & i can & do eat this. i am glad there are many others out there whi can eat this. wish i could.",0
"my four nieces (ages to ) really enjoy this game. there are times when the clues are well hidden and take some careful examination to find, but that is part of the fun. there are several games to play within the mystery setting. our only real complaint is that barbie moves slowly through the carnival setting. we always want her to run - especially when following a hot clue!",1
i was very pleased with the logo design product. it was very easy to use and has given me great results.,0
"i read many of the reviews concerning the new turbo tax product activiation, and i almost decided to switch to another product (i am a loyal ttax user too) until i did my own research. i went to intuit.com technical support faq's and read everything about product activiation. it tells you that you can easily reinstall the product on a new computer, there are no privacy or spyware issues, etc. they are just trying to control the misuse of the license agreements, which is understandable. if you sold software would you want everyone passing your software around or would you want each person to purchase their own copy?",0
"it's amazing to think that anyone would buy this program when it can be downloaded from the microsoft site for free. if you need a cd, then order microsoft's book, ""build a program now!, microsoft visual basic express edition"" by patrice pelland for about a third of the price. the cd comes with the complete program.the two stars are for sticking it to the consumer and does not reflect on vb express itself. the program is quite good and an excellent way to get started with programming--especially with the ""build a program now!"" book.",1
"i bought this primarily for the upgrades in iphoto and have been very happy i did. if they had just done something that would let me move and/or preferably reduce the size of that honking great control bar that blots almost / of your carefully composed picture when you want to manually control the slide show i would have given it stars. i really like the full screen editing mode. it is much easier to properly tweak exposure, straighten, etc. with the picture at full size. i also like being able to drag the photo directly from iphoto to photoshop if i need to get rid of spots, etc. sorting through the photos remains a fairly simple task given the variety of ways you can display the photos through view and (if you are good about doing this when you import the pictures) the use of keywords. overall, it's a very good product that meets most needs of a fairly serious photographer.",1
"my ratings:sim town - b this game is good. sim city is better. but, sim town is less confusing and may find kids interseted.sim park - a this game is great. it was very fun for me to play. i liked takng the quizzes and getting mail.sim safari - c this game is ok. it sometimes lacks fun because there isn't anything inerseting to do.sim tunes - b this game is better than it sounds. kids get to experience making songs with many musical insturments. i enjoyed playing this game.widget workshop - d this isn't that good of a game. well, one thing it's very hard to solve the problems and kids get bored fast. another thing is that it isn't much fun.sim ant - f oh pleez don't make me play this again is the # response for this game.overall - c it's an ok package. it is worth the money, but some games may not be very fun.",1
