comments,Helpful
"don't be mislead by it's sleak size and look, the first thing you'll miss is no number pad, just the numbers across the top. the keys are low set, so it's very easy to hit something wrong, but, by far, the worst is that the keyboard will not put the numbers(and sometimes letters) where you want them, and put them in places like the address bar, or any open box above the address bar, and even take you completely out of your program, or back to it's home page (at the very least)now it does not always do this,but it does it a lot,and mostly when you are in the middle of important work. it will drive you nuts re-doing your work multiple times, so in general don't let it's good looks fool you. i think ms has more work to do on this keyboard",0
"we had high hopes for this professional-sounding adhesive. but after a week, the headliner was hanging loose again. looks like we're off to the upholstry shop.",0
"i have not had a chance to test the unit properly yet but i am sure it will be good. the purchase price is listed at $.. a fee of $. is added for postage and fees, this was not mentoned. it takes weeks to arrive and then the post office charges . vat and handling fee. no doubt i will have a credit card fee as well. might as well have bought it in uk.",0
item arrived on time in new condition. have not had a chance to test it. the only test could be someone trying to steal the trailer. it looks strong though.,0
igloo has free shipping but the front is faux metal (silver plastic). if i had to do it over again i'd get the emerson (stainless front)emerson -bottle wine cooler - stainless steel-- $ shipping to nj. also the temp indicator is off; setting the unit to degrees yields degree wine --actron cp pockettherm infrared thermometer. i believe the pockettherm to be correct as it determined ice water to be / degrees.,0
so this sat around for awhile before i used it and sure enough i go to use it and the top of the unopen tube is hardened and unuse able this is bs and i cant even retuen it,0
"i wasn't happy at all with this item because when i tried to burn movies into this blank dvds, some of them did not work! i completely wasted about blank dvds. they did not work properly. i would recommend others to use different dvds.",0
i bought for a xmas gift. so i havent used it. its for my father in law. i hope it works. cuz the box look like a cheap brand. i hope that isnt the case. cuz ill be pist.,0
"ok. i was going to purchase one of these heaters for my son's california car that doesn't like the cold, but after seeing the negatives, won't buy one.sorry, don't need the aggravation.",0
"if you are looking for headlights for vw jetta , do not buy it!!it is my first time writing a review. when i received this stuff. i was very happy. so i tried to install it. i tried many times. but i couldn't put it in the hole which holds headlights. finally, i found this hella headlight is a little longer than my original one although the model number is exactly the same . what can i do now?? now i opened the box.so i lost this bucks......i will not buy any parts on the internet. i will directly go to the dealer's shop although it is expensive.",0
"who ever heard of a refrigerator with no on/off switch and no thermostat?this is especially important when it's running on the same battery that will be used to start the car. why run the battery down when it's ""cool enough"" inside?koolatron does offer models with thermostats but they were not displayed when i was searching for this and bought it. when i contacted them about the parts their answer was, ""unfortunately, the thermister wires have to be installed at the time the cooling unit is put into place. otherwise, it will not be properly done. we do not make those parts available to customers for that reason."" who knows, maybe i would have gotten it right? certainly would have been better that the amateur thermostat i installed.the good news is that the product works and does what i want. shame on koolatron for lousy marketing and service. tsk, tsk...",0
"highly overrated tool. doesn't even come close to the torque specs advertised by milwaukee. it can take out bolts torqued to about ft/lb.that is the closest it will come to ft/lb? false advertising at the finest by milwaukee. don't buy this tool, if you think you can use it for anything over ft/lb.stay away, far away, not even close!",0
"i'm glad that i had the money to buy the merchandise. everyone should invest into car alarm systems because at this point, people are stealing and you don't know what people will be doing in the future. it was a good buy and i am very pleased with my purchase. thank you for making an affordable purchase!",0
"there is a little metal tooth thing inside this monkey that looks like it wants you to touch it, but if you pry the top off with a wrench and stick body parts in there to touch it, you better be grounded buddy because you're in for the ride of your life. this thing must have a jiggawatt capacitor in there or something because i blacked out and didn't wake up for hours after touching it, and it wasn't even plugged in at the time. i can't stop blinking lately either. be careful when dissecting this little tazer-wannabe!!!",0
i own the fuji s and e both are . megs. i also just purchased the sony dsc-p (. megs) i took pictures using each camera using the settings all set to auto. the pictures were from close up to max zoom. i then had the best of each camera enlarged to in. by in. at costco high end fuji processor. the fuji colors were rich and not actual colors.the sony p- was more true to actual color. both sony and fuji were about the same in detail of the subject and were intuitive to operate plus fast to start up. i was looking for a smaller compact camera and the sony is the best small and yet very good quality pictures. the fuji has a optical and excellent body shape. when i viewed the dscv . i was disapointed at how slow the start up was. for that reason i decided not to buy the dscv. my nikon mm is still way ahead in detail quality/color for enlagements!,0
"gloves fit very loose, they do not have velcro tab to tighten the wrist. not heavy duty, very lite duty. do not recommend.",0
"excellent ergonomics as usual; however, i didn't realize you have to spent a bizzillion dollars for the ipod nike shoe. hence, my expectation of ""value"" was subpar.",0
"i think this player is amazingly priced when you consider that is has hdmi output and multi-channel sacd support. maybe this person does not want these features, but samsung's hdmi (not dvi) i player is similarly priced. when it comes down to it, the upscaled hdtv picture quality is what will show whether this player is any good.hdtv upscaling can have lots of artifacts or inaccuracies. i'm guessing sony is working on these problems with this new player.this player is not released as of the time of this writing.",0
"the thing looks fine and everything, but it is supposed to convert the trailer socket. so why does it have a -pin flat vehicle connector?i already have one of those, coming from my vehicle. so therefore, they won't plug into each other (like a male-male plug).look at the diagrams on this page if you don't know what i'm talking about:[..]so i'm kind of wondering how all the other star reviewers here figured that out. this thing is a - pin flat vehicle connector. it should be a trailer connector. what gives?",0
i was really excited to get this lense. i have just recently got into photography. i was not disappointed. works great from what i can tell.....not a pro by any means but does what i need it to do.,0
this range just does not seem to have a really good lens on the market right now and hopefully one of the companies who makes k mount lenses will do something about the problem. if i had it to do again i would buy a fixed lens at or in a manual focus lens.,0
"this is advertised loud and clear as the oz bottle. however, when i opened the box, it was oz. i don't know who to blame, royalpurple.com or amazon.com.------------------------------------------------------------------------------------------------the vendor has updated the listing and now it shows the oz bottle instead of oz. they also explained the difference of the upgraded oz version with the old oz version in the comment area of my initial review. i accept that. so, i edited my review. thanks for the response. however, the engine of my car has been as hot as before, and i didn't observe any drop in temparature. as such, i only upgraded the -star rating to -star rating. //",0
"the product was in good condition and as described, however there was no information on the shipment schedule. i tried calling them too but they couldn't help at all.",0
"good product for the price!!! not the best quality, but not the worst either. well worth the $$$$$$$$$. good buy, for sure.",0
"may be ok for repair. i was trying to replace my long dead defogger grid, and the paint pops off as the masking is lifted. expensive learning lesson.",0
"worth the money, does what it says it is going to do, it makes your tires almost the same as the stuff that they paint on ur tires at the car wash, but since that comes in barrels and is only for carwashes, this is the next best thing",0
"i was hoping i could use this as a temporary fix for an exhaust hose in my boat, i wrapped the breached hose with the product, within minutes of operation, the wrap burst sending metalic shards into my engine compartment, this definitely is not able to stand up to any sort of pressure.",0
"i like the product just fine, but assumed that i was going to be receiving containers and not one. the product description said per case, so i assumed this would be a case of ct. containers. it was only . just fyi.",0
"this product is high quality, i have a honda vtlx cc and the product looks very well. i have problems with the installation delate aprox hour because the seat was very complicate to reinstall. the manual installation is no very clear, but a the end i am happy with the product, i bought the large size and i think if you have many things to carry the extra large is better.i recomend to the manufactures add a lock key for the bags and the zippers, then if you leave your moto outside in any place you don't have to worry about thiefs.",0
"i like the pitch of this product but it won't allow the proper use of my espar blockheater due to it's viscosity.soooo, oem compatable? not really........................",0
"this product is not what i need. my car has a short some where under the hood .this monitors the battery, so i gave it to my friend and it works for him.",0
"i have not the chance to set up and test this item, but had to input a rating to close this review. based on other users i am expecting the results to be similar and that's why i gave it a .",0
"i am sure this product would be an excellent buy, but i ordered it and it did not give me an option on size. i am asking the dealer to give a contact address so that i can choose my size prior to shipment. i will post a new review in weeks.chris",0
works good for turning vinyl looking new but supposed to clean as well? i could have rubbed with plain water and got same results as far as cleaning goes. not worth the money if you are looking for protection and cleaning both. dh- is misleading cause it's not uv but maybe closer to uv- rating? i gave it below average cause it's supposed to do both clean and protect and jury still out on protect.good luck,0
"i think it improves the transportation impact, offers a lighter fall, to that for my ford ranger wd, which is elena ""offers what i want because it falls short. these are specifically for a shock standard car only under this situation i recommend it.",0
"this is an okay waste container, but i found that it was not worth it to me to pay this much for something which has similar competition for less money. i bought it for two daughters as well as myself, and they were underwhelmed. it is good if you tend to toss wet trash in a waste recepticle and don't want leakage, but beyond that it is not worth the price. it won't tip over, which is good, but i would hope that by the time someone is middle-aged like me, they would know how to handle garbage without making a huge mess in the car.",0
"well, even though i heard that sennheiser is high end and top of the line etc. here's my feedback:nice and warm music but the huge headphones can get hot and sweaty!! the noise cancelling type is smaller and doesn't get hot.the other issue is that there are days where the cordless is terrible in picking up the signal for a station!!so, it is a compromise...you want cordless for the freedom of not having a cord (very restrictive) there is downside.",0
"este producto es muy delicado y se da&ntilde;o con poco uso, aunque tenia a&ntilde;o y meses con el, lo use muy poco y ya se me da&ntilde;o sin dejarlo caer, sin mojarlo, no entiendo como un producto tan caro , porque solo por ser marca nikon , ya hay que pagar por el nombre, es tan caro y de tan poca duracion. comprare otra marca para mi camara nikon d-, en verdad el dinero no sobra y por eso no lo recomiendo.",0
"item looks to be made very well, like length, width and strength. purchased to be carried in my truck to use as needed, have not used so i have no idea how it will work.",0
"after reading all the info i could find, purchasing these plugs seemed the right thing to do, despite the increased expense. i have a honda odyssey, k miles, top mechanical condition. the plugs provided about . mpg more on a mile round trip. my biggest expected savings, though, will be realized in the plugs' longevity. we'll see.",0
"looking for a quick point/shoot to go with my olympus e/, i bought the cx. i shot a few pics and was not disappointed at all by the image quality. however the light weight and cheap plastic feel really got to me. so i returned it for a canon a and very glad i did. if you don't mind the disposable camera feel get the kodak for the image quality.",0
"for reasons unknown sony sold this dog before the bugs were worked out. the f has several very bad design goofs and as is i wouldn't buy one. and neither should you. oh, but it looks cool!",0
"i am satisfied with this product. it is quick and easy to use. the only complaint i have is that it promises to erase fault codes therefore turning of the ""service engine light"" i found that even though it does the warning light comes right back the following day for the same reasons. other than the above, the codes readings are clear and seem accurate.pizzo",0
does anyone know if this adapter can be used to network a printer? just plug into usb port of printer should seemingly network it????,0
el manual es muy generico e impractico. lo primero que busque fue informacion sobre el actuador de los ejes frontales para diagnosticar y no hay absolutamente nada sobre este actuador...!!!!!!!!!!,0
"i am installing this in a ford / ton pick up. haven't installed it yet, that is why i am giving it stars. this lines up perfectly in the spot i picked for it and it gives me back my glove box, which use to be occupied be a heater from a mustang. the plenum gives me defrosters as well. after the motor is installed, from what i've read, i'm sure this will get stars. a perfect fit for my application!!",0
"sure, it's handy for a pile of snow and ice, but it's much more awkward and slow for the more common thin layer of ice that underlies all the snow. for that, a metal scraper is far quicker and more comfortable to use.",0
"pro: it is sturdy. the design allows me to store my keyboard underneath which frees up desk space. positions laptop "" above my desk.con: height is not adjustable. $ is a lot of money for a piece of metal bent into a ""u"" shape. the lip of the notebook stand curls around front of laptop to keep it from sliding off the notebook stand, but i use a seperate fan pad under my laptop and the notebook stand lip is not wide enough to hold the fan pad and laptop.",0
"there brighter,whiter when i first used these i wasn't to impressed. after driving with them i could notice an improvement over regular lamps.",0
purchased supposedly new and price was cheaper than anywhere else. card contained existing files and could not delete them. basically was of no use. returned to amazon and recieved full purchase price.,0
"i've just received two sets of brake pads. akebono act and act proact. before i placed the order, it was unclear from the descriptions of each of the products whether a set of pads comes with a pair or with two pairs of pads. just so i wouldn't have to order it twice i ordered two sets of each. after i have received everything and opened the packages i saw that each set came with two pairs of pads - that is pads in one set. i plan to return the extra sets.i have not installed the pads so have no review as to the quality - will post it once installed and driven for a couple of hundred miles.also - the shipping was much faster than the anticipated timeline by amazon.",0
"the little time i did use this it works pretty good, don't recall the model a friend had but his rachet seemed to unbolt alot faster then my air rachet.",0
"good afternoon, this purchase did not come to our courier, so i've never been, this has already been debited from my credit card and if i need the product, please i need it released and informed that i was made to tell so to aerocav.the request was thanks,jean carlo rivas",0
"i purchased two for both cars, still wondering how it works. i will purchase a larger one locally, one that i feel i can trust when needed.",0
i live in the north west it rains almost all the time so of course when i seen this i jumped on it. i have used rain-x before and this says it works longer then rain-x. well it dont.,0
"i don't think the description clearly states this, but be aware that this is not a stand-alone product. the gauge will not work unless you already have a compressor to connect it to.",0
"cyrus chestnut is a wonderful young talent and this cd showcases him terrifically. i strongly disagree with a previous reviewer that this is even close to easy listening. first, cyrus plays extremely aggressively. without ever losing his touch he bangs the heck out of the keyboard on some selections. this is, after all a trio (which is joined by a saxophonist on three songs that all work). the trio is a classic jazz lineup and sometimes, it is exactly what you want to hear. this cd rewards on the first listening and is still pleasing me!",0
"first i will complain about how much i hate it when a company takes their floor display and reboxes it to send you as new. i had to wash the bonnet before use because it was dirty and wet wipe the handle. just because we buy over the internet does not mean you can treat us as second class shoppers. that being said here is my review.my stars only refers to the product after its first use. used it on my lanai(patio) windows and it was quite clumsy to manuver. it made a water mess unless you tried to squeeze out the excess water which is difficult. i haven't tried it on my car yet that is coming soon, then i will update. it may have a user learning period but at first try ""user friendly"" is not its nickname.",0
bueno tengo unos dias de estarla usando es algo lenta al copiar demasiados archivos pequenos pero en grandes transferecinas esta bien,0
"i've had these for about . yrs, and they're pretty much done. i live in southern california, where i don't use them that much. it seems pretty short for a life cycle, doesn't it?",0
this charger charges my two harleys. that's about all i can say. i wish it was little better made. they made the shell out of cheap plastic. if it was made with a metal or heavy plastic case it would have made me feel better about spending the cash.,0
i ordered two of these filters. the packaging was safe and nice with more than enough padding in the box. however both of the filters were defective with top of the metal cans were bent.i returned them for a refund.metal endcaps on both sides makes the total filtering area smaller than equivalent toyota filters.maybe a reason to use the bigger size.,0
"i orderer this thing, but still do not use, but when will need i am sure will be a useful tool, for diagnostic in plug catalytic.",0
"for such money it is possible will buy flashlight, and a knife. if that that happens it the goods to you will not help",0
"this light was purchased for a nissan altima. the description did not state whether it was for high beam or low beam. (it is for high beam). unfortunatly, i bought this for my husband and he was after the low beam. we sent it back without any problems.it would have saved the headache and shipping cost of returning it, if the description had stated this fact.note: the description on the package does not state this fact either)",0
doesn't really work that great it is easier just to pour it out works great with water but oil is extremly slow .,0
it was the wrong color than what i was supposed to receive. it said that i had a usb connection but the one i received didn't.,0
"pentax kd superi like this camera, because this camera use aa battery, and built in shake reduction, and dust removeal and cost me very little.this camera do not get face detection that i like to have, and the iso, that i like have .i will buy another pentax, if they make one, with the things that i like,and for the same price.i like pentax use aa battery for all their cameras.i have all the lens( ), for nikon, but the d will not drive them, so,i give up nikon.i have all lens for canon too( ), i will buy canon dslr, as soon as the price come down. ( as long as they can drive my canon lens.)so, i have to say good bye to my old friend( nikon ), and keep my other old friend( canon ), and say hi to my new friend pentax.",0
after seeing all of the reviews i thought that this would be great for recording lectures for school. ii gets great sound even in big lecture halls and recording and deleting a file is easy. however to work the other bells and whistles the directions didn't make much sence to me. even with trying to follow the pictures and the writen instructions step by step i just couldn't figure it out. so is it really worth the money? no not really.,0
"been a huge fan of power stop, but unfortunate they have moved their plants to china. once notified by power stop that their brakes have gone over seas, i canceled my order with amazon, and bought usa made hawk pads.i will not put chinese brake products on my chevy. a cd player and speakers is one thing, but not brakes.. i want to stop when i have to.",0
"i've been using this power adapter for a week and now the fan is rattling real loud. i don't know how much longer this plastic crap is gonna last. it's keeping my laptop charged for now, but for how long?",0
"i've get this to fit my honda st, and when i open the box and feel it, i think this product would be great!...after read the instruction manual, i decided to took it with to the upholstery, since it was a little bit complicated (cut the seat, reshape it, etc). so, they did a very nice job with my seat, lowering "" and puting the saddle gel inside, with a thin cover of foam.at the end, i really don't feel any noticeable difference. maybe i need to remove the upper thin foam i put it, but the manual said that i have to put it...",0
"not sure if there were any difference with this and the other that isn't laser, but i can feel the quick response with my accelerator. good product.",0
"i am not really sure about the effectiveness of the product as this was only one component of the thing that i was trying to hook up which did not work overall, however, i did want to comment that there are no installation instructions included so you had better know how to install it if you are going to buy it!!",0
"my wife bought me this for my pt cruiser crd and it worked fine. also tested on an corsa cdti and a nissan x trail. it read all cars without a problem. unfortunately all were healthy so could not try the reset facility.note.. as far as i can see it does not appear to reset the ""maintenance due indicator"" which is a big minus for me. hence stars, if i'm wrong then stars.",0
"this product definitely comes for a low price, but then its too flimsy.i tried opening the stuff and it came off and i was not able to fix it.",0
pros:. it is a dummy cam.. small. takes decent picture.cons:. it is a dummy cam.. shutter lag. tiny sensor translates to unusable above iso-. one dead pixel in my lcd.,0
"after years of using the step sealer & glaze and step carnuba wax systems, i switched from using turtle wax polishing compound(the lightest version of polishing compound on the market) to this pre-wax cleaner from mothers.after using the mothers step system with pre-wax cleaner for about years now, the pre-wax cleaner just isn't strong enough for the scratches that need a bit stronger compound. i've given it it's fair time with about different bottles of application, but always keep handy the turtle polishing compound to remove scratches that periodically appear.",0
"this player looks good to me...however i would like one with higher capacity, comparable to the ipod gig, but with the zen micro's form factor. the high capacity zen's i've seen look clunky to me. this looks good...but gb is not enough",0
"now i'm not an expert because i used it once. it pulled my chain link fence together and that is why i bought it. i should've gotten (or made) a fence stretcher bar to do this job right. it did the job. the price is why i bought this model as it beat out most others on that feature. i may never need to use this thing again but if i do just a few more times it has already payed for itself. i had one job to do and didn't want to spend much so this one did the trick. it was easy to use following the included instructions. it seems a solid piece of equipment. made in china, isn't everything?",0
"i was very disappointed that the lens didn't arrive until after christmas. they were a gift from my daughter to her husband. the seller had days to deliver the lens but it took days. it took the seller too long to get it to fedex and the lens arrived in kent, wa days before christmas and it took them days to get the lens miles.",0
"did not work with xbox even though it popped up when i typed in ""wireless headphones xbox"" into amazon product bar.",0
"i would not recommend this if you have the need for a tester frequently. however, if you need something for home to be used once in a 'blue moon' by all means this is for you. for my purposes this is cheap stuff.",0
amazon is hit or miss on the items they sell. probably % of the items they sell are returns or refurbished. read the reviews on other products. it is hard for me to say that they do not know this. i am sure they do. if you return the first you are guaranteed to get a know one. i believe they dump the old before they send the new. its systematic and calculative. this product was sent back and refurbished. i am sure they have a company that does it. then they recycled this stuff to the public.,0
"seems i reviewed the wrong product here a while back, so i'll remedy that. this gate valve was easy to replace and works well.",0
"although i have not had a need to record on this product, i'm sure that because of the name it will be ok. one aspect of ordering on amazon.com with free delivery.....that usually means slow delivery....so, if your not in a rush, and you can wait, it's worth saving a few extra $$$$.",0
"i ordered this item from amazon but got a different gear oil. needed a gl- got a gl-. would have reeked havoc in my spec-v tranny. i returned it without an issue but need to re-order the correct gear oil. should i order from amazon again, i probably will.",0
"i bought this decal for a project, but the plans fell apart before i could use it. however, i still have both them and plan to build a toy chest for my grandson for christmas. he likes the john deere colors. now theses decals have a new purpose.",0
let me start by saying that i've never been upside down in a submerged car trying to cut my seatbelt off and shatter the window to get out but if i was there are better safety hammers/tools on the market. this one is lightweight and reminds me of a toy. i'm afraid it would break before the window would. it does have a sharp point and cutting edge both untried by me. it just doesn't instill confidence. look elsewhere and spend a little more for the real thing.,0
"not what i expected, i thought it would be a little more hightech, more powerful. not sure it is worth it for the price.",0
so far i have used it with some of my car batteries and it performed well. only problem was i thought the product was multi voltage as with practically all other items beiong produced nowadays. unfortunately its only v my home voltage is v so have to use a transformer,0
my kit did not come with a cord to hook up to my computer. to download the dtc codes. i would like to have one sent to me as the unit was new and it should have every hook up especially the cord to hook up the pc to the unit thanks dennis,0
"para tomar fotos infrarrojas funciona muy bien en blanco y negro. para tomarlas a color es otra cosa. depende de la c&aacute;mara y es un poco mas complicado, sobre todo si deseas lograr los resultados de fot&oacute;grafos profesionales, las fotos a color suelen ser modificadas en la computadora.si lo quieres como x-ray dejame decirte que en la caja no lo dice por ning&uacute;n lado y la verdad yo aun no logro ning&uacute;n resultado.",0
"this tool probably has some value for those instances when the impact required to remove a stubborn screw is not so demanding. but, i found it totally useless to remove a screw securing my audi tt brake rotor. because this is basically a broad handled screwdriver, the unit cannot be held solidly when striking the end. it automatically turns in your hand as it tries to loosen the screw. but, it is heavy. it'll make a nice boat anchor.",0
i regret buying it is not the original made in chinathat traditionnot in conformity with what the site you conceal the truth to pour money,0
"it's far less quality than other brand such as meguiar's canauba wax. leave a lot of residues on your car after weeks of application. if you wax under sunny weather as it's advertised, you will have hard time to buff it off.",0
"i thought this would be a good tool to hold the things i buy like groceries but when i opened it, too small i had to send it back. cant believe it cost that much for its small size.",0
"compre mi coolpix tres dias antes de irme de viaje en un crucero, asi que tenia poco tiempo para aprender a usarla si es que queria tomar fotos con ella. la es facil de usar, con menues faciles, modalidades predefinidas y solo los botones necesarios. el manual es exhaustivo pero facil de leer con muchas ilustraciones.el &quot;form factor&quot; de la camara es muy comodo siempre que no seas de manos grandes. lo de los modos pre-programados hace la vida mas facil o puedes usar el modo csm para mayor control. la tienes decenas de parametros que te permiten miles de combinaciones posibles para una foto. el problema a veces es encontrar donde cambiar un parametro. muy lenta para encender, para grabar cada foto (- seg) y para salir del modo de &quot;ahorro de energia&quot;.pero definitivamente ofrece mucho mas de lo que esperas. el precio es una ganga. la compraria de nuevo si la perdiera.",0
last time i purchased them they came in a nice sleeve. these are awkward and only have a band to wrap around them.,0
"this appears to be a regular wiper blade with a rubber sleeve added over the spring arm mechanisims. seems like it should keep water and snow out of the moving parts in the arm, and prevent freeze up. i'll know more at the end of the winter if it was successful or not.",0
"gave this a shot for my motorcycle helmet visor, and after just getting back home out of the rain, i can't say this product works. at all. i followed the directions that came with it, but for whatever reason the rain didn't bead off my visor. if anything it actually seemed to stick on more. i think i'll stick with the raincoat stuff.",0
"at this time i am not able to rate the performance of this product....it is one of those things that you buy...hoping never to use!...it appears to be of good quality and the flashlight function works good, however, i can't rate it's performance until i have had an emergency situation in which to test it.",0
"hello, i am unhappy with this purchase. i wanted one bottle of armorall but was misled into buying two bottles. the site said if i make a minimum purchase i will get free shipping so i bought two bottles, which i surely did not need, but did it anyway to meet the requirement for free shipping.i figured the shipping could go toward the purchase of the second bottle, i'm sure you can see where this is going, they charged me shipping anyway.misleading people with free shipping is not the way to promote future sales.i hope i'm not writing this to deaf ears, just to be deleted, i'm sure you're looking for positive feed back but i can't think of anything positive about this misleading practise. except for this purchase i am happy with amazon. it's too bad that for this one sale that amazon would have a blemish on a good reputation.i wasn't going to complain i figured it wasn't worth the trouble but then you sent me an email.thank you very muchedward pavis",0
"i recently purchased this mp player for my brother for christmas. he really enjoys it...at ten years old anyways. i personally have an ipod, and love it. this, on the plus side has a sleek and very cool design, and can hold a reasonable amount of songs for him, in addition to being priced resonably. i found it irksome in some aspects though. i.e., it has no click wheel or anything resembling one. it gets annoying to keep pushing the next button; but the good outweighs the bad, overall: a good buy i would say",0
i was a bit disappointed that i only received one wiper and the wrong size for the front windshield. must have misread the description...this wiper is for the rear window of a gmc yukon. have not put it on yet.,0
"extreme ability to render classic jazz seamlessly. however, it is lacking the cutting edge &quot;rawness&quot; of great performers. the performances seem to be a cross between julliard talent and easy listening.",0
saw this on mythbusters. had lots of flooding in our area. friend was swept away in vehicle and escaped because window was down. then the bridge collapsed and texas has more bridges than any other state. need lifehammer just in case.,0
this case fit the camera ok but disappointed me as to the quality of workmanship for the price paid. my main complaint is that it only had velcro closure for the case instead of a metal clasp. there was no way of carrying it (no strap or handle) except for openings to use the strap on the camera.,0
"at supposedly watts, i thought this would be a perfect carry-along to run small tools,recharge phones,play cd players,devices,etc.wrong! for recharging phones;ok. small cd players;ok. dremel or smaller similar tools,nothing happening!just a loud high squeal which denotes the appl is pulling more amps than this weak ass unit can supply. should have gone for the higher wattage model which can power a wider asst. of appls. the only positive is the cig lighter plug-in instead of direct-to-battery hookup which is a pain in the ass.",0
"gosolar! - w portable folding solar charger kit - charge laptops, phones & batteries - includes li-ion battery, jumper cables, dc inverter and watt folding panel - by california solar accessoriesafter testing it for three jump starts i was impressed by the clore automotive jnc peak amp -volt jump starters. however it was useless when used on a relatively warm winter day to jump the car. that was the day i was going to hillside honda to receive yet another free new battery. now it sits next to my bookcase as a reminder that i've yet purchased another item that has outlived its usefulness.",0
"it works as advertised but needs to be charged more than hours, or it will drain right away. if car sits in snow/cold weather, needs to be restarted every few days or starter will not work until weather/car warm up.",0
"after getting the actron diagnostic code reader, it worked great, just like it said. unfortunately, when trying the product, i noticed a tag on the cord that siad ""warning this cord contains lead""!i was upset by this, beccause now i have to wear gloves when using it. i recommend that anyone who is interested in this product should save their money & find something similar.",0
"after reading many reviews and researching online i decided to try herculiner for an unorthodox use ,it just seemed like it was going to work fine ; i used it to create a protective coat on the bottom of my emotion glide kayak , since it was taking a lot of abuse launching of concrete boat ramps and from rocks and logs when i stopped at the river banks , it got several deep scratches and adding this super though liner to it sounded like a good idea , but ...nothing sticks to polyethylene , no glue or coating , this plastic is very though to work with , the herculiner looked very nice , but it just peeled off any time it came in contact with anything rough in big chunks , i know it was not supposed to be used in this kind of application but a disappointment none the less .later on i found out , quite by accident , that rubberized undercoating for cars works great on poly , and is very resistant to abrasion so this worked great on my kayak , success finally !!",0
"i waxed half of my car with collinite wax and the other half with turtle wax.there was no difference in shine or water beading.one month later the water still beads although the drops are not the nice little pea sized beads as when i st waxed it.also my car sits in the sun all the time.this wax is expensive and can only be ordered online so i guess i'll stick to whats available in local stores since i see no difference in shine or durability.i still have almost a whole bottle left so i'll have to use it,i'll try coats of wax next time to see if get some different results.",0
"i bought this battery mainly to power my portable fridge for camping at night when the car is not running. during the day, i plug my fridge into the v outlet in the back of my honda element. anyway, this battery has been plugged into the wall outlet at home for over a week now. for some reason, the needle on the dial gauge can only go as far as . mark which is kind of in the middle of the ""ready to use"" green area. the highest mark is amps. this tells me the battery can not be fully charged to its capacity.",0
"tengo una montero dakar y para el peso de la camioneta funciona de maravilla, lo recomiendo como parte de los accesorios para el off road x",0
this is ideal for places like nigeria where there are frequent blackouts especially for businesses which must use electricity to power their office equipment and in homes as well.,0
well i got the roof in to the entertainment of my neighbors.the next door neighbor asked my why i didn't have it done at the factory.i managed to get it in without damaging the cross beams.i got hung up on the directions & & cut the roof liner to large.it looks good from the outside.i used lots & lots of sealer so it doesn't leak.my wife is happy with her sunroof so i am off the hook.,0
